,Area (SQFT),Unit Price ($ PSF),Floor,Remaining Tenure,Is Freehold,walk_distance,Condo_Apartment,Landed,East Region,North East Region,North Region,West Region,Resale,Sub Sale
43,462.85,2136,35,95,0,725.0,1,0,0,0,0,0,0,0
44,473.62,1685,4,96,0,414.0,1,0,0,1,0,0,0,0
45,581.26,1041,1,90,0,854.0,1,0,0,1,0,0,1,0
46,635.08,1694,4,96,0,348.0,1,0,0,0,0,0,0,0
47,688.9,1523,4,97,0,1439.0,1,0,0,0,0,1,0,0
48,968.76,1563,5,0,1,2357.0,1,0,1,0,0,0,0,0
49,753.48,1623,18,96,0,383.0,1,0,0,0,0,0,0,0
50,893.41,929,16,89,0,1227.0,0,0,1,0,0,0,1,0
51,1356.26,1217,5,0,1,1506.0,1,0,1,0,0,0,1,0
52,441.32,1631,17,89,0,555.0,1,0,0,0,0,0,1,0
53,1377.79,856,6,72,0,354.0,1,0,0,0,0,1,1,0
54,699.66,2452,8,0,1,2091.0,1,0,0,0,0,0,0,0
55,742.72,2411,3,0,1,2091.0,1,0,0,0,0,0,0,0
56,1614.6,1641,0,0,1,1082.0,0,1,0,0,0,1,1,0
57,688.9,1523,4,97,0,1439.0,1,0,0,0,0,1,0,0
58,1227.1,919,13,71,0,2793.0,1,0,1,0,0,0,1,0
59,3476.77,913,31,60,0,2882.0,1,0,1,0,0,0,1,0
60,1044.11,2083,42,94,0,619.0,1,0,0,0,0,0,0,0
61,1280.92,1348,16,96,0,2788.0,1,0,0,0,0,1,0,0
62,828.83,2065,1,96,0,587.0,1,0,0,0,0,0,0,0
63,1130.22,1079,18,88,0,315.0,1,0,0,1,0,0,1,0
64,1582.31,2377,15,0,1,2091.0,1,0,0,0,0,0,0,0
65,925.7,1566,4,91,0,1940.0,1,0,0,0,0,0,1,0
66,3283.02,871,0,0,1,1646.0,0,1,0,1,0,0,1,0
67,742.72,1706,15,96,0,297.0,1,0,0,0,0,0,0,0
68,527.44,1612,4,96,0,486.0,1,0,0,0,0,0,0,0
69,5608.04,1658,0,0,1,301.0,0,1,0,0,0,0,1,0
70,742.72,1695,13,96,0,297.0,1,0,0,0,0,0,0,0
71,1658.73,1465,0,0,1,1310.0,0,1,0,1,0,0,1,0
72,462.85,1307,18,89,0,1186.0,1,0,0,0,0,1,1,0
73,757.79,1655,0,0,1,1321.0,0,1,0,0,0,0,1,0
