Area (SQFT),Unit Price ($ PSF),Type of Sale,Property Type,Planning Region,Floor,Remaining Tenure,Is Freehold,walk_distance
409.03,1491,Resale,Apartment,East Region,3,0,1,1827.0
796.54,3013,New Sale,Condominium,Central Region,2,0,1,308.0
4084.94,977,Resale,Semi-Detached House,East Region,0,0,1,1635.0
1582.31,2405,Resale,Apartment,Central Region,16,89,0,182.0
1431.61,1048,Resale,Condominium,East Region,4,78,0,227.0
968.76,1099,New Sale,Executive Condominium,North East Region,10,96,0,683.0
581.26,1290,Resale,Apartment,North East Region,8,89,0,427.0
1054.87,882,Resale,Executive Condominium,West Region,12,89,0,421.0
1205.57,1244,Resale,Apartment,Central Region,2,0,1,316.0
678.13,2746,New Sale,Condominium,Central Region,3,0,1,1269.0
850.36,1435,Resale,Condominium,East Region,2,0,1,2278.0
1054.87,1019,Resale,Condominium,East Region,14,88,0,1207.0
785.77,1000,Resale,Condominium,East Region,10,89,0,1814.0
699.66,1015,Resale,Condominium,North Region,4,89,0,1091.0
990.29,1206,New Sale,Condominium,East Region,1,95,0,1917.0
1399.32,793,Resale,Executive Condominium,East Region,1,89,0,1227.0
1776.06,3580,Resale,Condominium,Central Region,11,0,1,1055.0
1022.58,2375,Resale,Apartment,Central Region,22,89,0,182.0
1323.97,1382,Resale,Apartment,Central Region,15,0,1,798.0
527.44,1593,New Sale,Condominium,Central Region,2,96,0,486.0
495.14,1141,Resale,Condominium,East Region,8,90,0,2458.0
656.6,838,Resale,Apartment,Central Region,0,0,1,949.0
775.01,1030,Resale,Condominium,East Region,4,89,0,1778.0
2151.72,674,Resale,Semi-Detached House,West Region,0,72,0,2392.0
667.37,1206,Sub Sale,Apartment,North East Region,10,92,0,185.0
1291.68,743,Resale,Condominium,North East Region,2,73,0,2947.0
678.13,1723,New Sale,Condominium,Central Region,5,95,0,907.0
1216.33,2734,New Sale,Apartment,Central Region,7,96,0,1647.0
828.83,2097,New Sale,Apartment,Central Region,40,94,0,619.0
1173.28,1688,Resale,Apartment,Central Region,4,0,1,775.0
688.9,1934,New Sale,Apartment,Central Region,26,95,0,1299.0
1001.05,2866,New Sale,Condominium,Central Region,3,0,1,293.0
1194.8,1028,Resale,Condominium,East Region,1,88,0,910.0
3276.56,909,Resale,Terrace House,North East Region,0,0,1,2441.0
1377.79,1470,Resale,Apartment,Central Region,15,0,1,754.0
559.73,2816,New Sale,Apartment,Central Region,5,96,0,1638.0
1668.42,2109,New Sale,Apartment,Central Region,56,96,0,1653.0
828.83,1146,Resale,Executive Condominium,North East Region,15,88,0,478.0
2163.56,1479,New Sale,Terrace House,North East Region,0,94,0,2496.0
828.83,710,Resale,Apartment,North Region,3,74,0,1149.0
1614.6,855,Resale,Terrace House,East Region,0,71,0,1614.0
1076.4,975,Resale,Condominium,North Region,4,90,0,2171.0
4004.21,417,Resale,Terrace House,West Region,0,88,0,2248.0
4039.73,861,Resale,Terrace House,East Region,0,0,1,908.0
1205.57,2635,Resale,Apartment,Central Region,32,89,0,182.0
914.94,1140,Resale,Condominium,East Region,6,87,0,960.0
764.24,1734,New Sale,Condominium,Central Region,18,96,0,674.0
1087.16,1315,New Sale,Condominium,East Region,9,96,0,1401.0
731.95,1592,New Sale,Apartment,North East Region,10,96,0,2076.0
904.18,1131,New Sale,Executive Condominium,North East Region,16,96,0,672.0
1722.24,2730,New Sale,Apartment,Central Region,21,0,1,1503.0
484.38,1493,New Sale,Apartment,North East Region,5,96,0,1300.0
742.72,1556,New Sale,Apartment,Central Region,18,96,0,399.0
1313.21,3800,New Sale,Apartment,Central Region,25,0,1,636.0
1022.58,1427,New Sale,Apartment,West Region,15,94,0,2947.0
527.44,1687,New Sale,Condominium,Central Region,12,96,0,486.0
1044.11,1644,New Sale,Apartment,West Region,7,97,0,1448.0
742.72,1686,New Sale,Condominium,Central Region,17,96,0,1644.0
1646.89,1652,New Sale,Condominium,Central Region,8,96,0,595.0
775.01,3026,New Sale,Condominium,Central Region,5,0,1,308.0
1765.3,1250,New Sale,Condominium,East Region,6,95,0,1935.0
688.9,1849,New Sale,Apartment,Central Region,4,95,0,457.0
893.41,1912,New Sale,Apartment,Central Region,13,0,1,779.0
516.67,1448,New Sale,Apartment,North East Region,13,96,0,1492.0
796.54,1211,New Sale,Condominium,North Region,3,94,0,2432.0
613.55,1415,New Sale,Apartment,West Region,12,96,0,2788.0
785.77,2036,New Sale,Apartment,Central Region,3,106,0,2514.0
1011.82,1683,New Sale,Condominium,Central Region,3,96,0,541.0
968.76,1096,New Sale,Executive Condominium,North East Region,9,96,0,683.0
527.44,1769,New Sale,Condominium,Central Region,16,96,0,576.0
1097.93,1596,New Sale,Condominium,Central Region,14,96,0,1574.0
1044.11,2007,New Sale,Apartment,Central Region,39,94,0,619.0
527.44,1811,New Sale,Condominium,Central Region,20,96,0,493.0
796.54,2520,New Sale,Apartment,Central Region,2,96,0,784.0
495.14,3019,New Sale,Condominium,Central Region,1,0,1,308.0
688.9,3050,New Sale,Condominium,Central Region,5,0,1,308.0
753.48,1553,New Sale,Apartment,North East Region,13,96,0,2076.0
710.42,1568,New Sale,Condominium,Central Region,2,95,0,917.0
721.19,1514,New Sale,Apartment,North East Region,11,96,0,987.0
861.12,1290,New Sale,Condominium,East Region,12,96,0,1669.0
731.95,2836,New Sale,Apartment,Central Region,13,96,0,519.0
925.7,1502,New Sale,Apartment,Central Region,1,0,1,1553.0
785.77,2116,New Sale,Apartment,Central Region,38,94,0,619.0
742.72,1717,New Sale,Apartment,Central Region,17,96,0,297.0
1259.39,1675,New Sale,Condominium,Central Region,9,96,0,541.0
958.0,2733,New Sale,Condominium,Central Region,9,0,1,823.0
1356.26,756,Resale,Executive Condominium,East Region,7,74,0,723.0
